date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-08-23,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,34,8,Summer,0,,117.0,0.0,10.0,42.0
2024-08-24,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,34,8,Summer,0,,117.0,0.0,10.0,42.0
2024-08-25,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,34,8,Summer,0,,117.0,0.0,10.0,42.0
2024-08-26,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,35,8,Summer,0,,117.0,0.0,10.0,42.0
2024-08-27,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,35,8,Summer,0,,117.0,0.0,10.0,42.0
2024-08-28,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,35,8,Summer,0,,117.0,0.0,10.0,42.0
2024-08-29,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,35,8,Summer,0,,117.0,0.0,10.0,42.0
2024-08-30,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,35,8,Summer,0,,117.0,0.0,10.0,42.0
2024-08-31,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,35,8,Summer,0,,117.0,0.0,10.0,42.0
2024-09-01,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,35,9,Autumn,0,,79.0,0.0,10.0,42.0
2024-09-02,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,36,9,Autumn,0,,79.0,0.0,10.0,42.0
2024-09-03,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,36,9,Autumn,0,,79.0,0.0,10.0,42.0
2024-09-04,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,36,9,Autumn,0,,79.0,0.0,10.0,42.0
2024-09-05,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,36,9,Autumn,0,,79.0,0.0,10.0,42.0
2024-09-06,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,36,9,Autumn,0,,79.0,0.0,10.0,42.0
2024-09-07,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,36,9,Autumn,0,,79.0,0.0,10.0,42.0
2024-09-08,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,36,9,Autumn,0,,50.0,0.0,10.0,42.0
2024-09-09,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,37,9,Autumn,0,,50.0,0.0,10.0,42.0
2024-09-10,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,37,9,Autumn,0,,50.0,0.0,10.0,42.0
2024-09-11,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,37,9,Autumn,0,,50.0,0.0,10.0,42.0
2024-09-12,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,37,9,Autumn,0,,50.0,0.0,10.0,42.0
2024-09-13,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,37,9,Autumn,0,,50.0,0.0,10.0,42.0
2024-09-14,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,37,9,Autumn,0,,50.0,0.0,10.0,42.0
2024-09-15,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,37,9,Autumn,0,,28.0,91.0,10.0,42.0
2024-09-16,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,38,9,Autumn,0,,28.0,91.0,10.0,42.0
2024-09-17,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,38,9,Autumn,0,,28.0,91.0,10.0,42.0
2024-09-18,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,38,9,Autumn,0,,28.0,91.0,10.0,42.0
2024-09-19,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,38,9,Autumn,0,,28.0,91.0,10.0,42.0
2024-09-20,SKU0001,1,9466.89,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,38,9,Autumn,0,,28.0,91.0,10.0,42.0
2024-09-21,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,38,9,Autumn,0,,28.0,91.0,10.0,42.0
2024-09-22,SKU0001,1,9466.89,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,38,9,Autumn,0,,95.0,0.0,10.0,42.0
2024-09-23,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,39,9,Autumn,0,,95.0,0.0,10.0,42.0
2024-09-24,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,39,9,Autumn,0,,95.0,0.0,10.0,42.0
2024-09-25,SKU0001,6,56801.34,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,39,9,Autumn,0,,95.0,0.0,10.0,42.0
2024-09-26,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,39,9,Autumn,0,,95.0,0.0,10.0,42.0
2024-09-27,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,39,9,Autumn,0,,95.0,0.0,10.0,42.0
2024-09-28,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,39,9,Autumn,0,,95.0,0.0,10.0,42.0
2024-09-29,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,39,9,Autumn,0,,95.0,0.0,10.0,42.0
2024-09-30,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,40,9,Autumn,0,,95.0,0.0,10.0,42.0
2024-10-01,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,40,10,Autumn,0,,58.0,0.0,10.0,42.0
2024-10-02,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,40,10,Autumn,1,,58.0,0.0,10.0,42.0
2024-10-03,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,40,10,Autumn,0,,58.0,0.0,10.0,42.0
2024-10-04,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,40,10,Autumn,0,,58.0,0.0,10.0,42.0
2024-10-05,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,40,10,Autumn,0,,58.0,0.0,10.0,42.0
2024-10-06,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,40,10,Autumn,0,,58.0,0.0,10.0,42.0
2024-10-07,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,41,10,Autumn,0,,58.0,0.0,10.0,42.0
2024-10-08,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,41,10,Autumn,0,,32.0,84.0,10.0,42.0
2024-10-09,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,41,10,Autumn,0,,32.0,84.0,10.0,42.0
2024-10-10,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,41,10,Autumn,0,,32.0,84.0,10.0,42.0
2024-10-11,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,41,10,Autumn,0,,32.0,84.0,10.0,42.0
2024-10-12,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,41,10,Autumn,0,,32.0,84.0,10.0,42.0
2024-10-13,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,41,10,Autumn,0,,32.0,84.0,10.0,42.0
2024-10-14,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,42,10,Autumn,0,,32.0,84.0,10.0,42.0
2024-10-15,SKU0001,8,64374.85,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,42,10,Autumn,0,Festive Sale,6.0,84.0,10.0,42.0
2024-10-16,SKU0001,5,40234.28,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,42,10,Autumn,0,Festive Sale,6.0,84.0,10.0,42.0
2024-10-17,SKU0001,6,48281.14,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,42,10,Autumn,0,Festive Sale,6.0,84.0,10.0,42.0
2024-10-18,SKU0001,6,48281.14,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,42,10,Autumn,0,Festive Sale,6.0,84.0,10.0,42.0
2024-10-19,SKU0001,6,48281.14,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,42,10,Autumn,0,Festive Sale,6.0,84.0,10.0,42.0
2024-10-20,SKU0001,5,40234.28,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,42,10,Autumn,0,Festive Sale,6.0,84.0,10.0,42.0
2024-10-21,SKU0001,7,56328.0,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,43,10,Autumn,0,Festive Sale,6.0,84.0,10.0,42.0
2024-10-22,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,43,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-10-23,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,43,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-10-24,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,43,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-10-25,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,43,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-10-26,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,43,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-10-27,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,43,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-10-28,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,44,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-10-29,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,44,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-10-30,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,44,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-10-31,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,44,10,Autumn,0,,50.0,0.0,10.0,42.0
2024-11-01,SKU0001,7,66268.23,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,44,11,Autumn,1,,83.0,0.0,10.0,42.0
2024-11-02,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,44,11,Autumn,0,,83.0,0.0,10.0,42.0
2024-11-03,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,44,11,Autumn,0,,83.0,0.0,10.0,42.0
2024-11-04,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,45,11,Autumn,0,,83.0,0.0,10.0,42.0
2024-11-05,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,45,11,Autumn,0,,83.0,0.0,10.0,42.0
2024-11-06,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,45,11,Autumn,0,,83.0,0.0,10.0,42.0
2024-11-07,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,45,11,Autumn,0,,83.0,0.0,10.0,42.0
2024-11-08,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,45,11,Autumn,0,,54.0,0.0,10.0,42.0
2024-11-09,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,45,11,Autumn,0,,54.0,0.0,10.0,42.0
2024-11-10,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,45,11,Autumn,0,,54.0,0.0,10.0,42.0
2024-11-11,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,46,11,Autumn,0,,54.0,0.0,10.0,42.0
2024-11-12,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,46,11,Autumn,0,,54.0,0.0,10.0,42.0
2024-11-13,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,46,11,Autumn,0,,54.0,0.0,10.0,42.0
2024-11-14,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,46,11,Autumn,0,,54.0,0.0,10.0,42.0
2024-11-15,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,46,11,Autumn,0,,110.0,0.0,10.0,42.0
2024-11-16,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,46,11,Autumn,0,,110.0,0.0,10.0,42.0
2024-11-17,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,46,11,Autumn,0,,110.0,0.0,10.0,42.0
2024-11-18,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,47,11,Autumn,0,,110.0,0.0,10.0,42.0
2024-11-19,SKU0001,6,56801.34,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,47,11,Autumn,0,,110.0,0.0,10.0,42.0
2024-11-20,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,47,11,Autumn,0,,110.0,0.0,10.0,42.0
2024-11-21,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,47,11,Autumn,0,,110.0,0.0,10.0,42.0
2024-11-22,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,47,11,Autumn,0,,77.0,0.0,10.0,42.0
2024-11-23,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,47,11,Autumn,0,,77.0,0.0,10.0,42.0
2024-11-24,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,47,11,Autumn,0,,77.0,0.0,10.0,42.0
2024-11-25,SKU0001,6,48281.14,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,48,11,Autumn,0,Black Friday,77.0,0.0,10.0,42.0
2024-11-26,SKU0001,8,64374.85,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,48,11,Autumn,0,Black Friday,77.0,0.0,10.0,42.0
2024-11-27,SKU0001,8,64374.85,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,48,11,Autumn,0,Black Friday,77.0,0.0,10.0,42.0
2024-11-28,SKU0001,8,64374.85,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,48,11,Autumn,0,Black Friday,77.0,0.0,10.0,42.0
2024-11-29,SKU0001,6,48281.14,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,48,11,Autumn,0,Black Friday,77.0,0.0,10.0,42.0
2024-11-30,SKU0001,7,56328.0,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,48,11,Autumn,0,Black Friday,77.0,0.0,10.0,42.0
2024-12-01,SKU0001,9,72421.71,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,48,12,Winter,0,Black Friday,16.0,94.0,10.0,42.0
2024-12-02,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,49,12,Winter,0,,16.0,94.0,10.0,42.0
2024-12-03,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,49,12,Winter,0,,16.0,94.0,10.0,42.0
2024-12-04,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,49,12,Winter,0,,16.0,94.0,10.0,42.0
2024-12-05,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,49,12,Winter,0,,16.0,94.0,10.0,42.0
2024-12-06,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,49,12,Winter,0,,16.0,94.0,10.0,42.0
2024-12-07,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,49,12,Winter,0,,16.0,94.0,10.0,42.0
2024-12-08,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,49,12,Winter,0,,85.0,0.0,10.0,42.0
2024-12-09,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,50,12,Winter,0,,85.0,0.0,10.0,42.0
2024-12-10,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,50,12,Winter,0,,85.0,0.0,10.0,42.0
2024-12-11,SKU0001,7,66268.23,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,50,12,Winter,0,,85.0,0.0,10.0,42.0
2024-12-12,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,50,12,Winter,0,,85.0,0.0,10.0,42.0
2024-12-13,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,50,12,Winter,0,,85.0,0.0,10.0,42.0
2024-12-14,SKU0001,1,9466.89,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,50,12,Winter,0,,85.0,0.0,10.0,42.0
2024-12-15,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,50,12,Winter,0,,58.0,0.0,10.0,42.0
2024-12-16,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,51,12,Winter,0,,58.0,0.0,10.0,42.0
2024-12-17,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,51,12,Winter,0,,58.0,0.0,10.0,42.0
2024-12-18,SKU0001,6,56801.34,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,51,12,Winter,0,,58.0,0.0,10.0,42.0
2024-12-19,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,51,12,Winter,0,,58.0,0.0,10.0,42.0
2024-12-20,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,51,12,Winter,0,,58.0,0.0,10.0,42.0
2024-12-21,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,51,12,Winter,0,,58.0,0.0,10.0,42.0
2024-12-22,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,51,12,Winter,0,,28.0,94.0,10.0,42.0
2024-12-23,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,52,12,Winter,0,,28.0,94.0,10.0,42.0
2024-12-24,SKU0001,7,66268.23,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,52,12,Winter,0,,28.0,94.0,10.0,42.0
2024-12-25,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,52,12,Winter,1,,28.0,94.0,10.0,42.0
2024-12-26,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,52,12,Winter,0,,28.0,94.0,10.0,42.0
2024-12-27,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,52,12,Winter,0,,28.0,94.0,10.0,42.0
2024-12-28,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,52,12,Winter,0,,28.0,94.0,10.0,42.0
2024-12-29,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,52,12,Winter,0,,28.0,94.0,10.0,42.0
2024-12-30,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,1,12,Winter,0,,28.0,94.0,10.0,42.0
2024-12-31,SKU0001,6,56801.34,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,1,12,Winter,0,,28.0,94.0,10.0,42.0
2025-01-01,SKU0001,11,88515.42,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,1,1,Winter,0,New Year Sale,72.0,0.0,10.0,42.0
2025-01-02,SKU0001,11,88515.42,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,1,1,Winter,0,New Year Sale,72.0,0.0,10.0,42.0
2025-01-03,SKU0001,9,72421.71,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,1,1,Winter,0,New Year Sale,72.0,0.0,10.0,42.0
2025-01-04,SKU0001,7,56328.0,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,1,1,Winter,0,New Year Sale,72.0,0.0,10.0,42.0
2025-01-05,SKU0001,6,48281.14,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,1,1,Winter,0,New Year Sale,72.0,0.0,10.0,42.0
2025-01-06,SKU0001,7,56328.0,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,2,1,Winter,0,New Year Sale,72.0,0.0,10.0,42.0
2025-01-07,SKU0001,6,48281.14,8046.86,1,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,2,1,Winter,0,New Year Sale,72.0,0.0,10.0,42.0
2025-01-08,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,2,1,Winter,0,,22.0,71.0,10.0,42.0
2025-01-09,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,2,1,Winter,0,,22.0,71.0,10.0,42.0
2025-01-10,SKU0001,7,66268.23,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,2,1,Winter,0,,22.0,71.0,10.0,42.0
2025-01-11,SKU0001,6,56801.34,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,2,1,Winter,0,,22.0,71.0,10.0,42.0
2025-01-12,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,2,1,Winter,0,,22.0,71.0,10.0,42.0
2025-01-13,SKU0001,1,9466.89,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,3,1,Winter,0,,22.0,71.0,10.0,42.0
2025-01-14,SKU0001,0,0.0,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,3,1,Winter,0,,22.0,71.0,10.0,42.0
2025-01-15,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,3,1,Winter,0,,68.0,0.0,10.0,42.0
2025-01-16,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,3,1,Winter,0,,68.0,0.0,10.0,42.0
