sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0125,Small Appliances,Heaters,2024-09-01,4437.1,9575.12
SKU0126,Decor,Wall Art,2025-01-31,518.96,1176.25
SKU0127,Small Appliances,Blenders,2025-02-15,310.82,636.32
SKU0128,Furnishings,Tables,2024-12-03,3252.67,8224.26
SKU0129,Decor,Rugs,2025-02-04,362.99,682.94
SKU0130,small appliances,Blenders,2024-01-03,2388.64,5763.18
SKU0131,Decor,Lighting,2025-03-23,3071.52,5790.4
SKU0132,Furnishings,Tables,2025-03-02,1450.4,3348.08
SKU0133,Furnishings,Chairs,2025-03-19,966.03,1643.96
SKU0134,Decor,Rugs,2025-02-07,4494.53,8789.66
SKU0135,Furnishings,Sofas,2024-10-14,4489.47,10959.05
SKU0136,Furnishings,Chairs,2025-04-02,2311.59,4071.27
SKU0137,Furnishings,Chairs,2024-04-10,226.86,486.37
SKU0138,Furnishings,Chairs,2024-07-29,4322.56,10816.58
SKU0139,Furnishings,Chairs,2025-03-24,1172.67,2334.1
SKU0140,Decor,Lighting,2025-01-06,2719.74,6484.21
SKU0141,Furnishings,Sofas,2024-06-10,826.17,2188.67
SKU0142,Decor,Wall Art,2025-01-30,3559.63,7568.0
SKU0143,Small Appliances,Blenders,2024-12-03,3693.68,9910.38
SKU0144,Furnishings,Sofas,2024-10-08,593.24,1413.99
SKU0145,Decor,Lighting,2024-08-04,305.92,841.81
SKU0146,Furnishings,Sofas,2024-05-03,435.06,933.7
SKU0147,Furnishings,Sofas,2024-01-26,635.46,1309.94
SKU0148,Decor,Rugs,2024-04-13,1464.01,3034.82
SKU0149,Furnishings,Sofas,2024-02-26,3903.03,6250.62
SKU0150,Decor,Wall Art,2024-06-15,2026.27,5140.03
SKU0151,Furnishings,Sofas,2024-06-10,1204.8,2621.45
SKU0152,Furnishings,Tables,2024-06-14,4197.17,6960.1
SKU0153,Decor,Wall Art,2024-03-16,356.08,628.78
SKU0154,Furnishings,Tables,2024-04-04,286.08,495.71
SKU0155,furnishings,Sofas,2024-10-11,2717.35,7117.62
SKU0156,Small Appliances,Blenders,2024-11-05,857.93,2168.44
SKU0157,Furnishings,Sofas,2025-04-04,2126.89,4943.12
SKU0158,Furnishings,Tables,2025-02-10,1535.04,3928.25
SKU0159,furnishings,Chairs,2024-07-26,1531.72,2594.32
SKU0160,Furnishings,Chairs,2024-01-10,869.87,2148.77
SKU0161,Decor,Lighting,2024-06-07,4021.58,9300.29
SKU0162,Furnishings,Tables,2024-12-12,902.31,1992.98
SKU0163,Furnishings,Tables,2024-01-09,4469.92,10287.82
SKU0164,Small Appliances,Kettles,2025-03-16,2482.47,5824.25
SKU0165,Furnishings,Chairs,2024-10-24,1432.19,3432.02
SKU0166,Furnishings,Sofas,2024-10-24,1156.07,3062.04
SKU0167,Decor,Wall Art,2024-10-03,1873.32,4520.59
SKU0168,Decor,Wall Art,2025-01-14,4427.86,9312.35
SKU0169,Furnishings,Sofas,2025-02-02,2413.0,5042.09
SKU0170,Small Appliances,Blenders,2024-07-16,3119.23,5549.89
SKU0171,Furnishings,Tables,2024-04-09,3886.58,10474.72
SKU0172,Decor,Lighting,2025-01-01,3970.89,8159.64
SKU0173,Decor,Rugs,2024-12-31,3555.88,8121.35
SKU0174,Small Appliances,Heaters,2025-03-08,3621.72,6228.76
SKU0175,Decor,Rugs,2024-01-12,4409.63,9051.09
SKU0176,Small Appliances,Blenders,2024-07-16,1538.23,3584.83
SKU0177,Decor,Wall Art,2024-10-27,4218.91,9117.77
SKU0178,Furnishings,Chairs,2024-07-16,720.32,1293.3
SKU0179,Furnishings,Sofas,2025-04-22,1209.65,2079.04
SKU0180,Small Appliances,Blenders,2024-05-19,1029.08,1875.93
SKU0181,Decor,Rugs,2024-05-09,346.5,754.6
SKU0182,Decor,Lighting,2024-09-04,631.51,1201.72
SKU0183,Small Appliances,Kettles,2025-03-14,4072.14,11326.59
SKU0184,Small Appliances,Blenders,2024-02-05,749.4,1472.84
SKU0185,Furnishings,Tables,2025-02-26,2832.89,6376.37
SKU0186,Furnishings,Chairs,2024-03-21,3855.91,8872.73
SKU0187,Furnishings,Tables,2024-07-04,1911.12,4800.77
SKU0188,Furnishings,Chairs,2025-04-15,674.85,1805.46
SKU0189,Furnishings,Sofas,2025-02-27,930.79,1951.2
SKU0190,Furnishings,Tables,2024-12-21,3853.31,10209.31
SKU0191,Decor,Lighting,2024-05-04,1214.86,2178.86
SKU0192,Small Appliances,Kettles,2025-01-23,2401.83,5256.96
SKU0193,Decor,Lighting,2024-08-05,723.13,1266.05
SKU0194,Decor,Lighting,2025-04-21,861.56,1951.69
SKU0195,Furnishings,Tables,2024-01-16,667.45,1802.26
SKU0196,Decor,Wall Art,2024-08-20,1891.96,4234.7
SKU0197,Small Appliances,Kettles,2025-02-13,3376.02,7300.68
SKU0198,Small Appliances,Heaters,2024-06-19,367.96,739.93
SKU0199,Decor,Wall Art,2025-01-10,3602.31,6679.93
SKU0200,Decor,Wall Art,2024-11-15,160.04,446.84
SKU0059,Small Appliances,Kettles,2024-01-26,4173.06,7173.22
SKU0041,small appliances,Kettles,2025-04-30,2328.22,4127.18
SKU0035,Furnishings,Chairs,2024-09-14,1263.45,3440.69
